,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
TetR16_0_1980,TetR16,1980.0,TetR16_0,4_1067_6,6551.0,0.0
TetR16_1_1980,TetR16,1980.0,TetR16_1,9_1000_6,7159.0,57.0
TetR16_2_1980,TetR16,1980.0,TetR16_2,32_882_12,28510.0,3781.0
TetR16_3_1980,TetR16,1980.0,TetR16_3,240_375_12,27323.0,3520.0
TetR16_4_1980,TetR16,1980.0,TetR16_4,251_1050_10,20854.0,2728.0
TetR16_5_1980,TetR16,1980.0,TetR16_5,261_395_12,29780.0,4772.0
TetR16_6_1980,TetR16,1980.0,TetR16_6,264_572_13,37528.0,7010.0
TetR16_7_1980,TetR16,1980.0,TetR16_7,432_95_14,41754.0,4179.0
TetR16_8_1980,TetR16,1980.0,TetR16_8,449_881_11,25018.0,2820.0
TetR16_9_1980,TetR16,1980.0,TetR16_9,468_705_12,31519.0,4545.0
TetR16_10_1980,TetR16,1980.0,TetR16_10,484_457_14,41559.0,5267.0
TetR16_11_1980,TetR16,1980.0,TetR16_11,543_1020_14,42038.0,6234.0
TetR16_12_1980,TetR16,1980.0,TetR16_12,570_461_20,64418.0,8900.0
TetR16_13_1980,TetR16,1980.0,TetR16_13,600_646_10,18464.0,3314.0
TetR16_14_1980,TetR16,1980.0,TetR16_14,605_15_9,18227.0,2497.0
TetR16_15_1980,TetR16,1980.0,TetR16_15,633_800_15,44047.0,7304.0
TetR16_16_1980,TetR16,1980.0,TetR16_16,635_263_15,40580.0,5450.0
TetR16_17_1980,TetR16,1980.0,TetR16_17,660_667_13,39954.0,7174.0
TetR16_18_1980,TetR16,1980.0,TetR16_18,731_512_10,19745.0,3400.0
TetR16_19_1980,TetR16,1980.0,TetR16_19,739_224_13,35307.0,5828.0
TetR16_20_1980,TetR16,1980.0,TetR16_20,765_836_10,19115.0,2998.0
TetR16_21_1980,TetR16,1980.0,TetR16_21,774_388_13,36029.0,5678.0
TetR16_22_1980,TetR16,1980.0,TetR16_22,856_127_10,20479.0,3283.0
TetR16_23_1980,TetR16,1980.0,TetR16_23,875_227_10,19976.0,3246.0
TetR16_24_1980,TetR16,1980.0,TetR16_24,890_634_10,21340.0,3672.0
TetR16_25_1980,TetR16,1980.0,TetR16_25,1024_515_14,45651.0,8392.0
TetR16_26_1980,TetR16,1980.0,TetR16_26,1027_572_13,34748.0,5540.0
TetR16_27_1980,TetR16,1980.0,TetR16_27,1065_1014_13,38025.0,5118.0
TetR16_28_1980,TetR16,1980.0,TetR16_28,1078_448_12,32498.0,5834.0
TetR16_29_1980,TetR16,1980.0,TetR16_29,1093_87_11,24754.0,3807.0
TetR16_0_92,TetR16,92.0,TetR16_0,4_1067_6,6540.0,0.0
TetR16_1_92,TetR16,92.0,TetR16_1,9_1000_6,7074.0,0.0
